0,PU,2013,,първи курс,втори курс,трети курс,четвърти курс,пети курс
21,PU,2015,Български език и испански език (проф. направление Педагогика на обучението по ...),7,7,3,7,0
22,PU,2015,Български език и новогръцки език (проф. направление Педагогика на обучението по ...),8,9,6,9,0
23,PU,2015,Български език и турски език (проф. направление Педагогика на обучението по ...),17,14,24,27,0
24,PU,2015,Български език и китайски език (проф. направление Педагогика на обучението по ...),2,0,11,6,0
25,PU,2015,Български език и корейски език (проф. направление Педагогика на обучението по ...),3,6,0,0,0
26,PU,2015,Биология и химия (проф. направление Педагогика на обучението по ...),9,10,21,8,0
27,PU,2015,Физическо възпитание (проф. направление Педагогика на обучението по ...),100,99,88,85,0
28,PU,2015,Руски език и западен език (проф. направление Педагогика на обучението по ...),0,0,0,6,0
29,PU,2015,Педагогика на обучението по бит и технологии (проф. направление Педагогика на обучението по ...),26,19,15,22,0
30,PU,2015,Английска филология (проф. направление Филология),97,81,86,95,0
31,PU,2015,Българска филология (проф. направление Филология),136,103,104,134,0
32,PU,2015,Приложна лингвистика (английски и немски език) (проф. направление Филология),0,0,6,9,0
33,PU,2015,Руска филология (проф. направление Филология),13,13,23,24,0
34,PU,2015,Френска филология (проф. направление Филология),11,7,1,4,0
35,PU,2015,Приложна лингвистика (английски и испански език) (проф. направление Филология),0,0,18,18,0
36,PU,2015,Приложна лингвистика (английски и новогръцки език) (проф. направление Филология),0,0,0,1,0
37,PU,2015,Приложна лингвистика (немски и испански език) (проф. направление Филология),0,0,4,8,0
38,PU,2015,Приложна лингвистика (френски и испански език) (проф. направление Филология),0,0,3,2,0
39,PU,2015,Лингвистика с информационни технологии (английски и немски език) (проф. направление Филология),29,15,15,23,0
40,PU,2015,Лингвистика с информационни технологии (английски и френски език) (проф. направление Филология),16,4,18,13,0
41,PU,2015,Приложна лингвистика (немски и английски език) (проф. направление Филология),0,0,4,0,0
42,PU,2015,Приложна лингвистика (френски и английски език) (проф. направление Филология),0,0,7,3,0
43,PU,2015,Приложна лингвистика френски език с руски език) (проф. направление Филология),0,0,0,1,0
44,PU,2015,Лингвистика с информационни технологии (английски език с испански език) (проф. направление Филология),24,10,16,18,0
45,PU,2015,Приложна лингвистика (английски език с китайски език) (проф. направление Филология),0,0,10,15,0
46,PU,2015,Приложна лингвистика (немски език с китайски език) (проф. направление Филология),0,0,1,2,0
47,PU,2015,Приложна лингвистика (западен език с руски език) (проф. направление Филология),0,0,14,13,0
48,PU,2015,Приложна лингвистика (английски език с италиански език) (проф. направление Филология),0,0,8,19,0
49,PU,2015,Лингвистика с маркетинг (проф. направление Филология),48,32,21,0,0
50,PU,2015,Приложна лингвистика (английски език с втори чужд език) (проф. направление Филология),102,75,1,2,0
51,PU,2015,Приложна лингвистика (немски език с втори чужд език) (проф. направление Филология),9,10,2,0,0
52,PU,2015,Приложна лингвистика (френски език с втори чужд език) (проф. направление Филология),2,14,0,1,0
53,PU,2015,Лингвистика с бизнес администрация (проф. направление Филология),42,28,0,0,0
54,PU,2015,Археология (проф. направление История и археология),13,11,13,15,0
55,PU,2015,История (проф. направление История и археология),42,33,31,15,0
56,PU,2015,Философия (проф. направление Философия),14,16,21,20,0
57,PU,2015,Теология (проф. направление Религия и теология),21,23,16,17,0
58,PU,2015,"Етнология (проф. направление Социология антропология и науки за културата)",10,7,11,9,0
59,PU,2015,"Социална антропология (проф. направление Социология антропология и науки за културата)",8,11,12,9,0
60,PU,2015,"Социология и науки за човека (проф. направление Социология антропология и науки за културата)",26,20,10,19,0
61,PU,2015,"Социология на правото икономиката и иновациите (проф. направление Социология антропология и науки за културата)",34,35,32,32,0
62,PU,2015,Психология (проф. направление Психология),158,160,145,108,1
